step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,11.7029,2000,0.896409,0.729729,1.01081,0.93264,213,164,766.8,590.4,12,10,1227.47,179.886,227.379,700,700,0.052,104,-0.00902463,-18.0493,8.477,16954,35,0.186145,-1.16898e-11,1.09861,0.060725,17.7088
1,0,0.001,10.2195,2000,1.05578,0.863616,1.16576,1.09625,232,181,835.2,651.6,10,9,1116.86,173.012,218.505,700,700,0.0655,131,0.00267812,5.35624,7.9095,15819,36,-0.313897,8.02186e-10,1.0941,0.052726,28.1841
2,0,0.001,10.5644,2000,1.01552,0.848611,1.12396,1.05131,243,190,874.8,684,12,12,1220.05,163.548,211.702,700,700,0.065,130,0.00166581,3.33163,8.4985,16997,37,-0.264647,3.33984e-10,1.09433,0.0558112,39.0003
3,0,0.001,9.46562,2000,1.42097,1.1946,1.56016,1.47013,285,240,1026,864,10,10,1201.85,140.837,182.821,700,700,0.095,190,0.00599483,11.9897,7.4885,14977,46,-0.543941,-6.34046e-10,1.08058,0.0518119,48.7131
4,0,0.001,7.95733,2000,2.98383,2.52659,2.60482,3.08019,453,425,1630.8,1530,4,3,1548.93,57.742,92.133,700,700,0.2025,405,0.0211287,42.2575,5.9835,11967,69,-2.11001,-6.59144e-11,0.992596,0.04899,56.9008
5,0,0.001,9.69595,2000,1.61934,1.36749,1.68003,1.67328,319,280,1148.4,1008,4,4,1420.52,124.55,167.352,700,700,0.13,260,0.00493239,9.86478,7.547,15094,49,-0.516405,5.17821e-10,1.07365,0.0525198,66.8576
6,0,0.001,9.5046,2000,1.74208,1.47953,1.78369,1.79866,331,294,1191.6,1058.4,8,8,1547.62,121.438,163.551,700,700,0.127,254,0.00400455,8.00911,7.4635,14927,52,-0.654124,5.76692e-10,1.06848,0.0537531,76.6079
7,0,0.001,8.60955,2000,2.45053,2.09432,2.30981,2.52442,419,385,1508.4,1386,2,2,1388.16,76.595,114.739,700,700,0.1875,375,0.0126044,25.2089,6.5495,13099,63,-1.32365,-4.94693e-10,1.03464,0.0498941,85.4637
8,0,0.001,8.53783,2000,2.68087,2.3193,2.43048,2.75608,435,400,1566,1440,4,4,1373.11,64.6065,101.544,700,700,0.19,380,0.0116429,23.2857,6.358,12716,69,-1.18304,-5.72514e-10,1.02156,0.049715,94.2516
9,0,0.001,7.83131,2000,3.26426,2.81077,2.7712,3.35815,483,455,1738.8,1638,4,3,1646.2,47.7055,81.2465,700,700,0.2175,435,0.0148973,29.7946,5.7505,11501,73,-1.64121,-1.21516e-09,0.999155,0.0471029,102.318
10,0,0.001,7.78986,2000,3.34173,2.93845,3.00404,3.42372,484,461,1742.4,1659.6,2,2,1674.7,45.7345,78.8985,700,700,0.2255,451,0.0147526,29.5052,5.6025,11205,75,-1.50062,1.83118e-10,0.962719,0.0455329,110.348
11,0,0.001,7.68124,2000,3.46873,2.95427,2.88865,3.57775,484,453,1742.4,1630.8,4,4,1387.33,45.1825,76.891,700,700,0.2165,433,0.0121971,24.3942,5.543,11086,75,-1.25967,-5.88216e-10,0.999586,0.0450139,118.27
12,0,0.001,8.73906,2000,2.50892,2.12641,2.32292,2.58917,423,390,1522.8,1404,6,5,1567.7,69.781,107.754,700,700,0.18,360,0.00530873,10.6175,6.5825,13165,65,-0.600182,4.31392e-11,1.0252,0.050914,127.259
13,0,0.001,8.80769,2000,2.75235,2.41477,2.49004,2.82133,470,430,1692,1548,2,2,1284.17,49.168,87.369,700,700,0.21,420,0.0101,20.2001,6.4775,12955,71,-1.09728,1.41971e-10,0.988532,0.0500371,136.325
14,0,0.001,8.15364,2000,3.21858,2.84579,2.88751,3.29326,495,466,1782,1677.6,2,1,1487.83,35.8415,70.779,700,700,0.228,456,0.0127219,25.4438,5.829,11658,76,-1.29587,1.08985e-10,0.906863,0.0501482,144.728
15,0,0.001,7.73564,2000,3.65107,3.19508,3.08758,3.74212,514,484,1850.4,1742.4,10,5,1797.54,29.273,61.3885,700,700,0.217,434,0.0102431,20.4862,5.3435,10687,80,-1.07224,-1.471e-09,0.861902,0.0483022,152.702
16,0,0.001,8.64752,2000,2.72996,2.34632,2.39778,2.80981,455,421,1638,1515.6,4,3,1409.89,57.6975,95.492,700,700,0.2005,401,0.00675628,13.5126,6.5095,13019,71,-0.846117,1.18325e-09,0.962976,0.048933,161.601
17,0,0.001,8.66928,2000,2.83078,2.45802,2.38428,2.9079,468,438,1684.8,1576.8,4,4,1548.15,53.364,90.5785,700,700,0.209,418,0.00798239,15.9648,6.377,12754,72,-1.0014,-7.17335e-11,0.95249,0.0531321,170.538
18,0,0.001,8.37935,2000,3.0522,2.66622,2.63016,3.13154,483,448,1738.8,1612.8,2,2,1299.79,39.8855,75.541,700,700,0.219,438,0.0094441,18.8882,6.078,12156,75,-0.967351,5.12722e-10,0.923596,0.0500901,179.171
19,0,0.001,9.65179,2000,2.33904,2.05356,2.21373,2.39723,440,404,1584,1454.4,2,2,1474.92,64.339,106.765,700,700,0.197,394,0.00500722,10.0144,7.1795,14359,66,-0.659592,7.47662e-10,0.978779,0.05351,189.082
