step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
0,0,0.001,12.5099,2000,0.80208,0.665522,1.00252,0.831513,192,148,691.2,532.8,8,8,1357.6,181.678,230.628,700,700,0.054,108,0.0114705,22.9411,8.6755,17351,30,-0.897087,-9.38707e-11,1.09861,0.0635629,18.1563
1,0,0.001,11.7679,2000,0.978654,0.850493,1.16941,1.00547,244,185,878.4,666,10,10,1034.6,159.236,209.912,700,700,0.0675,135,0.00258124,5.16248,8.766,17532,39,-0.307098,-5.03939e-11,1.09272,0.0571599,30.2167
2,0,0.001,10.9666,2000,1.16067,1.01631,1.34632,1.1907,268,213,964.8,766.8,8,8,1089.04,149.261,197.061,700,700,0.0865,173,0.00429432,8.58864,8.228,16456,42,-0.804772,4.04281e-10,1.08399,0.0565372,41.4628
3,0,0.001,10.0761,2000,1.74296,1.51876,1.93578,1.78896,345,307,1242,1105.2,6,6,1375.09,107.183,150.953,700,700,0.1385,277,0.0122327,24.4653,7.4485,14897,55,-1.24156,5.03753e-10,1.04037,0.052031,51.7948
4,0,0.001,10.54,2000,1.19,1.02784,1.38962,1.22371,262,216,943.2,777.6,8,7,1210.03,149.899,196.848,700,700,0.088,176,0.00027337,0.54674,8.0775,16155,42,-0.124528,-6.28511e-10,1.08354,0.053654,62.5964
5,0,0.001,9.99542,2000,1.43788,1.21126,1.64486,1.48468,287,254,1033.2,914.4,0,0,1347.06,140.623,183.883,700,700,0.127,254,0.00750624,15.0125,7.4015,14803,44,-0.764642,-9.0005e-11,1.07835,0.0521359,72.8504
6,0,0.001,9.59557,2000,1.61153,1.38429,1.92488,1.65866,317,273,1141.2,982.8,6,6,1190.32,118.897,160.595,700,700,0.1215,243,0.00535167,10.7033,7.1585,14317,48,-0.825007,-3.57817e-10,1.06095,0.0520999,82.6984
7,0,0.001,9.6053,2000,1.73399,1.51433,2.01125,1.77894,325,287,1170,1033.2,2,2,1198.05,117.588,159.109,700,700,0.1385,277,0.00806956,16.1391,7.05,14100,50,-0.884612,6.82405e-10,1.03389,0.0513082,92.5581
8,0,0.001,9.37603,2000,1.74724,1.49638,2.03808,1.79906,320,288,1152,1036.8,4,4,1499.55,116.336,156.447,700,700,0.134,268,0.00634042,12.6808,6.864,13728,49,-0.731566,-4.4663e-10,1.0422,0.0482271,102.185
9,0,0.001,9.15037,2000,2.21025,1.93949,2.36762,2.26553,390,358,1404,1288.8,2,2,1415.02,88.681,127.972,700,700,0.174,348,0.014088,28.176,6.66,13320,60,-1.44577,2.47178e-10,0.990483,0.052115,111.587
10,0,0.001,8.89076,2000,2.53067,2.27378,2.73484,2.58179,428,395,1540.8,1422,4,4,1582.09,67.7875,105.988,700,700,0.1875,375,0.0154129,30.8257,6.338,12676,66,-1.7304,-6.03727e-10,0.923784,0.0488031,120.736
11,0,0.001,8.83276,2000,2.91958,2.72335,3.1344,2.95686,491,456,1767.6,1641.6,4,4,1460.3,39.585,77.446,700,700,0.218,436,0.0198877,39.7753,6.0415,12083,74,-2.13926,7.15368e-10,0.694915,0.0484641,129.819
12,0,0.001,9.01654,2000,2.85723,2.68777,3.13448,2.88891,499,457,1796.4,1645.2,4,4,1305.35,25.3905,64.7515,700,700,0.2185,437,0.0174764,34.9529,6.195,12390,74,-1.84147,-2.00202e-10,0.611271,0.0494969,139.094
13,0,0.001,8.42465,2000,3.13976,2.97429,3.35684,3.17094,509,471,1832.4,1695.6,6,5,1433.42,30.558,67.192,700,700,0.2205,441,0.016484,32.9681,5.8075,11615,79,-1.8115,-1.30997e-11,0.629535,0.0460169,147.772
14,0,0.001,8.47805,2000,3.25936,3.07389,3.43995,3.29403,521,491,1875.6,1767.6,0,0,1447.71,26.16,62.6875,700,700,0.2455,491,0.019919,39.8379,5.749,11498,80,-1.90024,-4.8879e-10,0.520246,0.047262,156.505
15,0,0.001,8.57155,2000,3.32243,3.15228,3.46589,3.35409,524,494,1886.4,1778.4,2,2,1480.14,21.288,57.188,700,700,0.242,484,0.0179912,35.9823,5.629,11258,81,-1.82493,3.73044e-10,0.443185,0.048599,165.328
16,0,0.001,8.97902,2000,3.21049,3.05218,3.37186,3.24005,544,499,1958.4,1796.4,4,4,1315.17,12.4105,50.8525,700,700,0.2395,479,0.0163882,32.7765,6.0455,12091,82,-1.82987,9.8024e-11,0.403001,0.0492821,174.562
17,0,0.001,8.68453,2000,3.17239,3.00791,3.38365,3.20298,524,485,1886.4,1746,2,2,1270.36,21.426,58.7125,700,700,0.2375,475,0.015172,30.344,5.844,11688,80,-1.5609,3.21163e-10,0.503419,0.0491509,183.509
18,0,0.001,8.85115,2000,3.33028,3.14322,3.48301,3.3656,536,499,1929.6,1796.4,4,4,1344.93,15.761,52.478,700,700,0.2395,479,0.0148822,29.7644,5.8295,11659,83,-1.6103,-4.81822e-10,0.554397,0.0488772,192.619
19,0,0.001,8.59513,2000,3.34812,3.1634,3.46168,3.38282,530,497,1908,1789.2,4,4,1444.54,20.2785,56.4875,700,700,0.2385,477,0.0140727,28.1454,5.7235,11447,81,-1.55365,2.07006e-10,0.509868,0.0504618,201.473
20,0,0.001,8.84115,2000,3.2645,3.10356,3.39023,3.29455,543,503,1954.8,1810.8,2,2,1302.99,11.618,49.4345,700,700,0.2465,493,0.0151332,30.2664,5.9485,11897,84,-1.58038,9.27606e-10,0.504829,0.0504413,210.589
21,0,0.001,8.44648,2000,3.46471,3.26242,3.52153,3.5028,548,517,1972.8,1861.2,0,0,1468.05,14.341,50.323,700,700,0.2585,517,0.0170668,34.1337,5.699,11398,82,-1.6965,5.46132e-10,0.511579,0.048425,219.296
22,0,0.001,8.66685,2000,3.37809,3.20286,3.52246,3.41113,536,499,1929.6,1796.4,8,8,1458.82,14.802,50.7375,700,700,0.2295,459,0.0101721,20.3441,5.7,11400,83,-1.41494,5.50464e-10,0.515487,0.0503597,228.227
23,0,0.001,8.9788,2000,3.12739,2.9347,3.29412,3.16363,525,494,1890,1778.4,2,2,1509.51,23.2775,61.71,700,700,0.242,484,0.0124645,24.929,6.081,12162,80,-1.31181,1.67979e-10,0.588764,0.0505271,237.464
24,0,0.001,8.6733,2000,3.26165,3.06739,3.36982,3.29838,526,492,1893.6,1771.2,4,4,1492.07,22.477,58.9675,700,700,0.236,472,0.010821,21.642,5.8,11600,81,-1.28309,7.00346e-11,0.638549,0.050333,246.395
25,0,0.001,8.83403,2000,3.28735,3.07657,3.3881,3.3273,545,516,1962,1857.6,0,0,1604.04,11.1515,49.275,700,700,0.258,516,0.0150667,30.1333,6.0725,12145,85,-1.51584,-6.59698e-10,0.586217,0.0513439,255.493
26,0,0.001,9.46168,2000,2.78732,2.67693,3.178,2.80774,497,458,1789.2,1648.8,6,6,1442.96,32.139,72.6485,700,700,0.214,428,0.00531525,10.6305,6.321,12642,75,-0.857605,4.01325e-10,0.627001,0.049984,265.23
27,0,0.001,8.62718,2000,3.37301,3.15782,3.44564,3.41356,543,509,1954.8,1832.4,2,2,1451.97,15.9815,52.806,700,700,0.2495,499,0.0125435,25.087,5.8365,11673,82,-1.36828,-2.57224e-10,0.559325,0.0569339,274.136
28,0,0.001,9.76477,2000,2.98588,2.85599,3.26221,3.0099,509,472,1832.4,1699.2,2,2,1348.28,27.5855,66.2335,700,700,0.231,462,0.00836395,16.7279,6.0305,12061,78,-0.902784,1.05295e-10,0.568171,0.048568,284.168
29,0,0.001,8.99851,2000,3.07158,2.91841,3.33424,3.10004,526,489,1893.6,1760.4,2,2,1283.18,15.596,54.3975,700,700,0.2395,479,0.00994473,19.8895,6.077,12154,81,-0.995723,4.74515e-10,0.568381,0.053216,293.443
30,0,0.001,8.2641,2000,3.53747,3.33504,3.60347,3.57546,531,498,1911.6,1792.8,2,2,1357.28,23.1765,57.209,700,700,0.244,488,0.0107259,21.4519,5.376,10752,81,-1.15517,1.32382e-10,0.51512,0.0478001,301.984
31,0,0.001,9.07429,2000,3.00832,2.8954,3.33005,3.02914,516,479,1857.6,1724.4,6,6,1437.76,28.1125,66.9205,700,700,0.2245,449,0.00613884,12.2777,6.039,12078,79,-0.969429,-6.81181e-10,0.47602,0.0518191,311.327
32,0,0.001,8.46135,2000,3.52253,3.281,3.54938,3.5682,546,520,1965.6,1872,2,2,1667.47,18.0675,53.9255,700,700,0.255,510,0.012579,25.1581,5.7005,11401,85,-1.38709,1.0479e-09,0.51093,0.0501518,320.051
33,0,0.001,9.25907,2000,3.0338,2.88115,3.28378,3.06231,532,495,1915.2,1782,4,4,1461.41,21.4795,61.3625,700,700,0.2375,475,0.00848097,16.9619,6.275,12550,82,-1.08592,6.84719e-10,0.546325,0.0521872,329.588
34,0,0.001,8.90354,2000,3.32552,3.15854,3.41428,3.35662,543,508,1954.8,1828.8,2,2,1345.14,14.84,52.0965,700,700,0.249,498,0.0107724,21.5448,5.847,11694,84,-1.15892,7.93343e-10,0.490849,0.051404,338.767
35,0,0.001,8.89053,2000,3.2727,3.10591,3.38061,3.30396,545,508,1962,1828.8,6,6,1458.81,15.618,53.632,700,700,0.239,478,0.00824877,16.4975,5.998,11996,83,-1.19022,5.58095e-10,0.469951,0.0500712,347.928
36,0,0.001,9.0317,2000,3.22138,3.0554,3.37387,3.25252,545,509,1962,1832.4,4,4,1377.44,10.575,49.0345,700,700,0.2445,489,0.00923215,18.4643,6.0745,12149,85,-1.10208,-2.20719e-10,0.533489,0.050395,357.234
37,0,0.001,8.82339,2000,3.21487,3.04344,3.38392,3.24674,527,495,1897.2,1782,0,0,1322.1,25.3345,62.571,700,700,0.2475,495,0.00973273,19.4655,5.8355,11671,81,-0.931882,-4.18321e-10,0.514417,0.0504303,366.333
38,0,0.001,9.54292,2000,3.1322,2.96243,3.26856,3.16384,548,514,1972.8,1850.4,2,2,1449.27,13.6935,53.7035,700,700,0.252,504,0.0105838,21.1676,6.284,12568,85,-1.19209,-2.03504e-10,0.489013,0.0534968,376.168
39,0,0.001,8.7044,2000,3.4204,3.24391,3.49519,3.45325,552,520,1987.2,1872,2,2,1418.01,11.555,48.596,700,700,0.255,510,0.0110704,22.1407,5.81,11620,85,-1.21537,7.55571e-10,0.444216,0.0526431,385.152
